tag,description
masterpiece,杰作
best quality,最佳质量
high quality,高质量
amazing quality,惊人质量
very aesthetic,非常美观
aesthetic,美观
worst quality,最差质量
low quality,低质量
normal quality,普通质量
bad quality,差质量
jpeg artifacts,JPEG压缩伪影
signature,签名
watermark,水印
username,用户名
blurry,模糊
